Title,Type,Episodes,Status,Start airing,End airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites,Description
One Punch Man,TV,12,Finished Airing,2015-10-5,2015-12-21,Fall,Mondays at 01:05 (JST),"TV Tokyo,Bandai Visual,Lantis,Asatsu DK,Banpresto,Good Smile Company,Shueisha,East Japan Marketing & Communications",Viz Media,Madhouse,Web manga,"Action,Sci-Fi,Comedy,Parody,Super Power,Supernatural,Seinen",24 min. per ep.,R,8.73,675113,994888,30140,"The seemingly ordinary and unimpressive Saitama has a rather unique hobby: being a hero. In order to pursue his childhood dream, he trained relentlessly for three years—and lost all of his hair in the process. Now, Saitama is incredibly powerful, so much so that no enemy is able to defeat him in battle. In fact, all it takes to defeat evildoers with just one punch has led to an unexpected problem—he is no longer able to enjoy the thrill of battling and has become quite bored.

This all changes with the arrival of Genos, a 19-year-old cyborg, who wishes to be Saitama's disciple after seeing what he is capable of. Genos proposes that the two join the Hero Association in order to become certified heroes that will be recognized for their positive contributions to society, and Saitama, shocked that no one knows who he is, quickly agrees. And thus begins the story of One Punch Man, an action-comedy that follows an eccentric individual who longs to fight strong enemies that can hopefully give him the excitement he once felt and just maybe, he'll become popular in the process.

[Written by MAL Rewrite]"
Suzumiya Haruhi no Shoushitsu,Movie,1,Finished Airing,2010-2-6,-,-,-,"Kadokawa Shoten,Animation Do","Funimation,Bandai Entertainment",Kyoto Animation,Light novel,"Comedy,Mystery,Romance,School,Sci-Fi,Supernatural",2 hr. 42 min.,PG-13,8.73,177650,319467,8499,"One cold Christmas day, Kyon heads over to school and the SOS Brigade's holiday celebration, only to realize that Haruhi Suzumiya seems to have disappeared. Moreover, no one even remembers her or the SOS Brigade; Mikuru Asahina knows nothing and is now afraid of him, and Itsuki Koizumi has also gone missing. The Literature Club, formed only by an uncharacteristically shy Yuki Nagato, now occupies the old SOS club room.

Suzumiya Haruhi no Shoushitsu is based on the fourth light novel of the acclaimed Haruhi series and is set after the events of the anime series. Not uncultured in the supernatural, Kyon will have to deal with his whole life turned upside down like a bad joke, and maybe it's better that way.

[Written by MAL Rewrite]"
Natsume Yuujinchou Shi,TV,13,Finished Airing,2012-1-3,2012-3-27,Winter,Tuesdays at 01:30 (JST),"TV Tokyo,Aniplex,Nihon Ad Systems,Hakusensha,Sony Music Entertainment","NIS America, Inc.",Brain's Base,Manga,"Slice of Life,Supernatural,Drama,Fantasy,Shoujo",24 min. per ep.,PG-13,8.72,61530,130966,1387,"Takashi Natsume, the timid youkai expert and master of the Book of Friends, continues his journey towards self-understanding and acceptance with the help of friends both new and old. His most important ally is still his gluttonous and sake-loving bodyguard, the arrogant but fiercely protective wolf spirit Madara—or Nyanko-sensei, as Madara is called when in his usual disguise of an unassuming, pudgy cat.

Natsume, while briefly separated from Nyanko-sensei, is ambushed and kidnapped by a strange group of masked, monkey-like youkai, who have spirited him away to their forest as they desperately search for the Book of Friends. Realizing that his ""servant"" has been taken out from right under his nose, Nyanko-sensei enlists the help of Natsume's youkai friends and mounts a rescue operation. However, the forest of the monkey spirits holds many dangerous enemies, including the Matoba Clan, Natsume's old nemesis.

Stretching from the formidable hideout of the Matoba to Natsume's own childhood home, Natsume Yuujinchou Shi is a sweeping but familiar return to a world of danger and friendship, where Natsume will finally confront the demons of his own past.

[Written by MAL Rewrite]"
Mushishi Zoku Shou: Suzu no Shizuku,Movie,1,Finished Airing,2015-5-16,-,-,-,"Aniplex,Kodansha,Delfi Sound",-,Artland,Manga,"Adventure,Fantasy,Historical,Mystery,Seinen,Slice of Life,Supernatural",47 min.,PG-13,8.71,21922,54408,123,"On a warm summer day, a boy heard the sound of bells ringing, as if in celebration, in the mountain near his home. Several years later in that same mountain, the mushishi Ginko encounters a strange girl with weeds growing out of her body. Soon after, Ginko coincidentally runs into the now grown-up boy Yoshiro on his way off the mountain. With Yoshiro’s help, Ginko soon begins to uncover who this mysterious girl is and what happened to her.

An adaptation of the last arc in the manga, Mushishi Zoku Shou: Suzu no Shizuku follows Ginko’s peculiar journey amidst the occult to unravel the mystery behind the enigmatic girl called Kaya and the mountain that has become her home.

[Written by MAL Rewrite]"
Kizumonogatari II: Nekketsu-hen,Movie,1,Finished Airing,2016-8-19,-,-,-,"Aniplex,Kodansha",Aniplex of America,Shaft,Light novel,"Action,Mystery,Supernatural,Vampire",1 hr. 4 min.,R,8.7,69241,132506,744,"After reverting to human from half-vampire, Koyomi Araragi decides to retrieve Kiss-shot Acerola-orion Heart-under-blade's severed body parts that were stolen by three powerful vampire hunters. Awaiting him are Dramaturgie, a vampire hunter who is a vampire himself; Episode, a half-vampire with the ability to transform into mist; and Guillotinecutter, a human priest who is the most dangerous of them all.

Unbeknownst to Araragi, each minute he spends trying to retrieve Kiss-shot's limbs makes him less of a human and more of a vampire. Will he be able to keep his wish of becoming human once again by the end of his battles?

[Written by MAL Rewrite]"
Bakuman. 3rd Season,TV,25,Finished Airing,2012-10-6,2013-3-30,Fall,-,"NHK,Shueisha",-,J.C.Staff,Manga,"Comedy,Drama,Romance,Shounen",24 min. per ep.,PG-13,8.67,106543,180516,2061,"Onto their third serialization, manga duo Moritaka Mashiro and Akito Takagi—also known by their pen name, Muto Ashirogi—are ever closer to their dream of an anime adaption. However, the real challenge is only just beginning: if they are unable to compete with the artist Eiji Niizuma in the rankings within the span of six months, they will be cancelled. To top it off, numerous rivals are close behind and declaring war. They don't even have enough time to spare thinking about an anime!

In Bakuman. 3rd Season, Muto Ashirogi must find a way to stay atop the colossal mountain known as the Shounen Jack rankings. With new problems and new assistants, the pair continue to strive for their dream.

[Written by MAL Rewrite]"
Death Note,TV,37,Finished Airing,2006-10-4,2007-6-27,Fall,Wednesdays at 00:56 (JST),"VAP,Konami,Ashi Production,Nippon Television Network,Shueisha",Viz Media,Madhouse,Manga,"Mystery,Police,Psychological,Supernatural,Thriller,Shounen",23 min. per ep.,R,8.67,993775,1432871,87872,"A shinigami, as a god of death, can kill any person—provided they see their victim's face and write their victim's name in a notebook called a Death Note. One day, Ryuk, bored by the shinigami lifestyle and interested in seeing how a human would use a Death Note, drops one into the human realm.

High school student and prodigy Light Yagami stumbles upon the Death Note and—since he deplores the state of the world—tests the deadly notebook by writing a criminal's name in it. When the criminal dies immediately following his experiment with the Death Note, Light is greatly surprised and quickly recognizes how devastating the power that has fallen into his hands could be.            

With this divine capability, Light decides to extinguish all criminals in order to build a new world where crime does not exist and people worship him as a god. Police, however, quickly discover that a serial killer is targeting criminals and, consequently, try to apprehend the culprit. To do this, the Japanese investigators count on the assistance of the best detective in the world: a young and eccentric man known only by the name of L.

[Written by MAL Rewrite]"
Hajime no Ippo: Rising,TV,25,Finished Airing,2013-10-6,2014-3-29,Fall,Sundays at 01:35 (JST),"VAP,Kodansha,Nippon Television Network",-,"Madhouse,MAPPA",Manga,"Comedy,Sports,Drama,Shounen",22 min. per ep.,PG-13,8.67,58403,101167,639,"Japanese Featherweight Champion Makunouchi Ippo has defended his title belt once more with the help of his devastating signature move: the Dempsey Roll. However, new challengers are rising up left and right, claiming to have an answer for the move responsible for crushing his opponents. Will Ippo be able to step up to the challenge, or will the weight of his pride destroy him before he finds out just what it means to be strong? Meanwhile, fellow Kamogawa Gym mate Aoki Masaru is just a hop, skip, and a Frog Punch away from claiming his own belt, ready to take on the Japanese Lightweight Champion!

Hajime no Ippo: Rising continues Ippo's quest to become stronger, featuring the same cast of loveable dimwits from Kamogawa Gym, as they put their bodies and hearts on the line to make their way in the harsh world of professional boxing. With a will of iron, Ippo steps into the ring once again.

[Written by MAL Rewrite]"
Saiki Kusuo no Ψ-nan (TV) 2,TV,24,Currently Airing,2018-1-17,-,Winter,Wednesdays at 01:35 (JST),"TV Tokyo,Shogakukan Productions,Nippon Columbia,KlockWorx,Asmik Ace Entertainment,Bandai Namco Entertainment,Shueisha,Toy's Factory,Dear Stage inc.",-,"J.C.Staff,Egg Firm",Manga,"Slice of Life,Comedy,Supernatural,School,Shounen",24 min. per ep.,PG-13,8.67,11176,53301,372,Sequel to Saiki Kusuo no Ψ-nan (TV).
Ansatsu Kyoushitsu 2nd Season,TV,25,Finished Airing,2016-1-8,2016-7-1,Winter,Fridays at 01:25 (JST),"Dentsu,Fuji TV,DAX Production,Avex Pictures,Shueisha,Kansai Telecasting",Funimation,Lerche,Manga,"Action,Comedy,School,Shounen",23 min. per ep.,PG-13,8.66,207074,369455,6549,"The students return as school is back in session for the second semester. Following their exploits on the island during summer vacation, Class 3-E continues to sharpen their blades with their sights set on their teacher, the slippery Koro-sensei. They have more to worry about than just their teacher, however, as enemy assassins, both old and new, are out for the increased bounty on the octopus' head.

Moreover, their rivals in Class A, as well as Kunugigaoka Junior High's fearsome principal, stand to block Class E from achieving academic excellence. With all of these obstacles opposing them, the group must continue to work together in order to overcome their foes and accomplish their goal of successfully assassinating their teacher.

[Written by MAL Rewrite]"
